cf1,start,end,cf2,start,end,set,clone?,type
jfreechart/src/main/java/org/jfree/data/xy/XYSeriesCollection.java,80,88,jfreechart/src/main/java/org/jfree/data/xy/DefaultTableXYDataset.java,191,201,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/MultiplePiePlot.java,104,116,jfreechart/src/main/java/org/jfree/chart/JFreeChart.java,311,320,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/renderer/category/StackedBarRenderer.java,73,82,jfreechart/src/main/java/org/jfree/chart/renderer/category/StackedAreaRenderer.java,64,73,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Quarter.java,131,143,jfreechart/src/main/java/org/jfree/data/time/Hour.java,122,135,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/renderer/xy/ClusteredXYBarRenderer.java,53,62,jfreechart/src/main/java/org/jfree/chart/renderer/category/StackedAreaRenderer.java,64,73,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Quarter.java,131,143,jfreechart/src/main/java/org/jfree/data/time/Hour.java,139,152,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Month.java,112,124,jfreechart/src/main/java/org/jfree/data/time/Month.java,128,140,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/renderer/category/StackedBarRenderer3D.java,103,133,jfreechart/src/main/java/org/jfree/chart/renderer/category/StackedBarRenderer.java,86,116,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Quarter.java,147,159,jfreechart/src/main/java/org/jfree/data/time/Minute.java,140,153,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Quarter.java,147,159,jfreechart/src/main/java/org/jfree/data/time/Minute.java,123,136,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,57,66,jfreechart/src/main/java/org/jfree/chart/plot/SpiderWebPlot.java,237,249,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/WaferMapPlot.java,127,136,jfreechart/src/main/java/org/jfree/chart/plot/SpiderWebPlot.java,237,249,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/renderer/xy/ClusteredXYBarRenderer.java,53,62,jfreechart/src/main/java/org/jfree/chart/renderer/category/StackedBarRenderer.java,73,82,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/CombinedRangeCategoryPlot.java,353,368,jfreechart/src/main/java/org/jfree/chart/plot/CombinedDomainCategoryPlot.java,428,439,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,57,66,jfreechart/src/main/java/org/jfree/chart/plot/WaferMapPlot.java,112,124,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/WaferMapPlot.java,112,124,jfreechart/src/main/java/org/jfree/chart/plot/WaferMapPlot.java,127,136,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Month.java,184,206,jfreechart/src/main/java/org/jfree/data/ComparableObjectItem.java,47,62,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Quarter.java,131,143,jfreechart/src/main/java/org/jfree/data/time/Minute.java,140,153,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,70,79,jfreechart/src/main/java/org/jfree/chart/plot/WaferMapPlot.java,112,124,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,70,79,jfreechart/src/main/java/org/jfree/chart/plot/MultiplePiePlot.java,104,116,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Quarter.java,131,143,jfreechart/src/main/java/org/jfree/data/time/Minute.java,123,136,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Quarter.java,147,159,jfreechart/src/main/java/org/jfree/data/time/Hour.java,139,152,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/annotations/XYDrawableAnnotation.java,29,39,jfreechart/src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java,31,41,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Quarter.java,147,159,jfreechart/src/main/java/org/jfree/data/time/Hour.java,122,135,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/statistics/HistogramDataset.java,108,120,jfreechart/src/main/java/org/jfree/data/statistics/HistogramDataset.java,123,135,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Quarter.java,196,218,jfreechart/src/main/java/org/jfree/data/ComparableObjectItem.java,47,62,orig,TP,T3
jfreechart/src/main/java/org/jfree/chart/plot/XYPlot.java,540,556,jfreechart/src/main/java/org/jfree/chart/plot/PolarPlot.java,258,272,orig,TP,T3
jfreechart/src/main/java/org/jfree/data/time/Week.java,254,276,jfreechart/src/main/java/org/jfree/data/ComparableObjectItem.java,47,62,orig,TP,T3
tomcat/java/org/apache/jasper/security/SecurityUtil.java,12,38,tomcat/java/org/apache/catalina/util/RequestUtil.java,3,29,decomp,TP,T1
tomcat/java/org/apache/el/util/ConcurrentCache.java,14,25,tomcat/java/javax/el/BeanELResolver.java,281,292,decomp,TP,T2
